patent_id,title,abstract,ipc_codes,cpc_codes,citations,publication_year
028-399-291-453-580,"AUGMENTED REALITY (AR) PROVIDING APPARATUS AND METHOD FOR RECOGNIZING CONTEXT USING NEURAL NETWORK, AND NON-TRANSITORY COMPUTER-READABLE RECORD MEDIUM FOR EXECUTING THE METHOD","An augmented reality (AR) providing method for recognizing a context using a neural network includes acquiring, by processing circuitry, a video; analyzing, by the processing circuitry, the video and rendering the video to arrange a virtual object on a plane included in the video; determining whether a scene change is present in a current frame by comparing the current frame included in the video with a previous frame; determining a context recognition processing status for the video based on the determining of whether the scene change is present in the current frame; and in response to determining that the context recognition processing status is true, analyzing at least one of the video or a sensing value received from a sensor using the neural network and calculating at least one piece of context information, and generating additional content to which the context information is applied and providing the additional content.",G06T19/00; G06N3/08; G06T7/13; G06T7/246; G06V10/50; G06V10/764,H04N5/14; H04N21/81; G06T7/254; G06T2207/10016; G06T2207/10024; G06T19/006; G06N3/08; G06F3/011; G06V20/20; G06V10/50; G06V10/462; G06V10/759; G06V10/758; G06V20/70; G06V10/82; G06V10/764; G06N3/044; G06N3/045; G06N3/0464; G06T7/254; G06T19/006; G06V10/82; G06V20/20; G06T2207/10016; G06V20/40; G06V10/40; G06V10/751; G06V10/56; G06V10/422; H04N21/816; H04N5/147; G06N3/04; G06T7/13; G06T7/248; G06T7/13; G06T7/248; G06N3/08; G06T19/006; G06T2207/10016; G06F18/2113; G06T7/254; G06V10/758; G06V10/759; G06V10/764; G06V10/82; G06V10/462; G06V10/50; G06V20/70; G06V20/20,cited_by:9 | cites:0,2020
166-287-303-316-418,MATCHING A CUSTOMER AND CUSTOMER REPRESENTATIVE DYNAMICALLY BASED ON A CUSTOMER REPRESENTATIVE'S PAST PERFORMANCE,"A method, computer system, and a computer program product for customer representative matching is provided. The present invention may include receiving a chat transcript with one or more tagged triplets and one or more multi-dimensional success vectors. The present invention may include aggregating the one or more multi-dimensional success vectors. The present invention may include receiving at least one business priority. The present invention may include training a machine learning model to match a customer to at least one customer representative. The present invention may include querying the trained machine learning model to match the customer to the at least one customer representative. The present invention may include revealing a match.",G06Q30/00; G06N20/00; G06Q10/06,G06Q10/063112; G06Q30/016; G06N20/10; G06N3/08; G06N3/0895; G06Q30/016; G06N20/00; G06Q10/063112,cited_by:17 | cites:0,2020
048-986-980-905-732,NEURAL NETWORK LAYER-BY-LAYER DEBUGGING,"Techniques are disclosed for debugging a neural network execution on a target processor. A reference processor may generate a plurality of first reference tensors for the neural network. The neural network may be repeatedly reduced to produce a plurality of lengths. For each of the lengths, a compiler converts the neural network into first machine instructions, the target processor executes the first machine instructions to generate a first device tensor, and the debugger program determines whether the first device tensor matches a first reference tensor. A shortest length is identified for which the first device tensor does not match the first reference tensor. Tensor output is enabled for a lower-level intermediate representation of the shortest neural network, and the neural network is converted into second machine instructions, which are executed by the target processor to generate a second device tensor.",G06N3/08; G06F9/38,G06N3/063; G06N3/08; G06N3/045; G06N3/105; G06N3/082; G06F11/3636; G06N3/048; G06F9/3861; G06N3/082,cited_by:10 | cites:0,2020
078-669-342-307-630,INTENT DETECTION WITH A COMPUTING DEVICE,"A method can perform a process with a method including capturing an image, determining an environment that a user is operating a computing device, detecting a hand gesture based on an object in the image, determining, using a machine learned model, an intent of a user based on the hand gesture and the environment, and executing a task based at least on the determined intent.",G06F3/01; G06F3/16; G06K9/00; G06K9/62; G06K9/72; G06T7/20; G06T7/73; G06T11/20,G06F3/017; G06N20/20; G06V40/28; G06N3/045; G06F18/22; G06F3/167; G06F3/0304; G06F2203/0381; G06F3/017; G06Q50/20; G06F3/011; G06Q30/0641; G06Q10/10; G06N3/08; G06V40/113; G06V20/20; G06V10/82; G06V30/19173; G06N3/045; G06N3/0495; G06N3/09; G06N3/0464; G06T7/73; G06F3/017; G06F3/16; G06T7/20; G06T11/20; G06T2210/12; G06V30/274; G06V40/28; G06F18/214; G06F3/167; G06V30/19173; G06V10/82; G06V20/20; G06V40/113,cited_by:18 | cites:0,2020
143-418-156-283-419,GENERATING AUDIO USING NEURAL NETWORKS,"Methods, systems, and apparatus, including computer programs encoded on computer storage media, for generating an output sequence of audio data that comprises a respective audio sample at each of a plurality of time steps. One of the methods includes, for each of the time steps: providing a current sequence of audio data as input to a convolutional subnetwork, wherein the current sequence comprises the respective audio sample at each time step that precedes the time step in the output sequence, and wherein the convolutional subnetwork is configured to process the current sequence of audio data to generate an alternative representation for the time step; and providing the alternative representation for the time step as input to an output layer, wherein the output layer is configured to: process the alternative representation to generate an output that defines a score distribution over a plurality of possible audio samples for the time step.",G10L25/30; G06N3/04; G10L13/06,G06N3/045; G06N3/048; G10L13/06; G10L25/30; G10L25/30; G10L13/06; G10H2250/311; G06N3/048; G06N3/045; G10H2250/311; G10L13/06; G06N3/084; G06N3/048; G06N3/045; G06N3/0475; G06N3/0464; G06N3/09; G10L13/06; G10L25/30; G10H2250/311; G06N3/048; G06N3/045; G06N3/08; G10H2250/311; G10L13/06; G06N3/045; G06N3/048; G06N3/0464; G10L25/30,cited_by:5 | cites:0,2020
